id,year,proposal,company,funds_yes,funds_no,outcome
1,2009,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Meezzy,[75],[97],0
2,2010,Phasellus sit amet erat. Nulla tempus.,Jaloo,[123],[16],0
3,2009,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Thoughtbridge,[37],[108],0
4,2012,Curabitur at ipsum ac tellus semper interdum.,Zoomdog,[118],[115],0
5,2014,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Yodoo,[91],[112],1
6,2017,Maecenas ut massa quis augue luctus tincidunt.,Mycat,[41],[49],1
7,2009,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Oodoo,[33],[110],1
8,2014,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Meevee,[39],[66],1
9,2013,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Eazzy,[82],[114],1
10,2013,Donec ut dolor.,Livefish,[107],[101],0
11,2019,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Avamba,[1],[115],0
12,2015,Cras in purus eu magna vulputate luctus.,Snaptags,[116],[69],1
13,2011,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Yoveo,[116],[1],0
14,2013,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",InnoZ,[31],[73],1
15,2012,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Centidel,[41],[22],0
16,2019,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Skibox,[103],[121],1
17,2016,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Muxo,[96],[26],1
18,2014,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Fivebridge,[114],[121],1
19,2015,Aenean fermentum.,Voonyx,[108],[29],0
20,2017,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Teklist,[78],[123],1
21,2012,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Linktype,[118],[25],1
22,2012,Curabitur in libero ut massa volutpat convallis.,Browsetype,[82],[50],1
23,2011,Suspendisse potenti.,Twiyo,[35],[120],0
24,2014,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Cogilith,[2],[19],1
25,2015,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Gevee,[69],[67],1
26,2012,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Kwideo,[1],[96],1
27,2018,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Brainlounge,[100],[108],0
28,2016,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Gabvine,[44],[101],1
29,2017,Maecenas tincidunt lacus at velit.,LiveZ,[50],[55],0
30,2019,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Babbleblab,[106],[98],0
